Trial 0, Params: {'learning_rate': 0.001139778634059735, 'depth': 6, 'colsample_bylevel': 0.27859587653777873, 'min_data_in_leaf': 92, 'l2_leaf_reg': 1.960072468996326, 'grow_policy': 'Depthwise'}, Value: 0.2120176037740107
Trial 78, Params: {'learning_rate': 0.07484925035942365, 'depth': 10, 'colsample_bylevel': 0.6789043036160779, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.0101825574502903, 'grow_policy': 'Depthwise'}, Value: 0.5909055967580554
Trial 79, Params: {'learning_rate': 0.006390190545744836, 'depth': 10, 'colsample_bylevel': 0.7234061206262157, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.1749903931624528, 'grow_policy': 'Depthwise'}, Value: 0.21054693220436974
Trial 80, Params: {'learning_rate': 0.002198337311862834, 'depth': 5, 'colsample_bylevel': 0.2274839751422879, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.2912314642066547, 'grow_policy': 'Depthwise'}, Value: 0.040806324236868516
Trial 81, Params: {'learning_rate': 0.0991540908442388, 'depth': 10, 'colsample_bylevel': 0.9685904940448427, 'min_data_in_leaf': 55, 'l2_leaf_reg': 1.7084982098417003, 'grow_policy': 'Depthwise'}, Value: 0.6318513439294547
Trial 82, Params: {'learning_rate': 0.07212467504767983, 'depth': 10, 'colsample_bylevel': 0.9077240045621546, 'min_data_in_leaf': 55, 'l2_leaf_reg': 1.7649452015859377, 'grow_policy': 'Depthwise'}, Value: 0.5877463230756157
Trial 83, Params: {'learning_rate': 0.08702127755504703, 'depth': 10, 'colsample_bylevel': 0.9297873199129898, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.0769157832798482, 'grow_policy': 'Depthwise'}, Value: 0.6093126537273521
Trial 84, Params: {'learning_rate': 0.0994083782594909, 'depth': 10, 'colsample_bylevel': 0.9729976066725209, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.1736430094372923, 'grow_policy': 'Depthwise'}, Value: 0.6359974878956579
Trial 85, Params: {'learning_rate': 0.07677091394306501, 'depth': 9, 'colsample_bylevel': 0.9441580905130352, 'min_data_in_leaf': 60, 'l2_leaf_reg': 1.155516623768346, 'grow_policy': 'Depthwise'}, Value: 0.590642692090172
Trial 86, Params: {'learning_rate': 0.06476988332624865, 'depth': 10, 'colsample_bylevel': 0.9769269597563133, 'min_data_in_leaf': 56, 'l2_leaf_reg': 1.0064572300235872, 'grow_policy': 'Depthwise'}, Value: 0.5736013206910222
Trial 87, Params: {'learning_rate': 0.014538208926177961, 'depth': 10, 'colsample_bylevel': 0.930074935311959, 'min_data_in_leaf': 60, 'l2_leaf_reg': 1.6978573497253953, 'grow_policy': 'Depthwise'}, Value: 0.35203381752279633
Trial 88, Params: {'learning_rate': 0.08748298902043218, 'depth': 9, 'colsample_bylevel': 0.9085306694634504, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.0651899587448377, 'grow_policy': 'SymmetricTree'}, Value: 0.5829543256745556
Trial 89, Params: {'learning_rate': 0.08031288241942042, 'depth': 10, 'colsample_bylevel': 0.972415545275375, 'min_data_in_leaf': 53, 'l2_leaf_reg': 1.2268330762065476, 'grow_policy': 'Depthwise'}, Value: 0.605674686380361
Trial 90, Params: {'learning_rate': 0.09923797893288092, 'depth': 9, 'colsample_bylevel': 0.9456683301109412, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.0644379196510847, 'grow_policy': 'Lossguide'}, Value: 0.5577610900776581
Trial 91, Params: {'learning_rate': 0.09026335942213237, 'depth': 10, 'colsample_bylevel': 0.858417859040861, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.2957115425829593, 'grow_policy': 'Depthwise'}, Value: 0.6213884450209299
Trial 92, Params: {'learning_rate': 0.09901032080976374, 'depth': 10, 'colsample_bylevel': 0.8925939816071006, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.1541618806430425, 'grow_policy': 'Depthwise'}, Value: 0.6325526952049995
Trial 93, Params: {'learning_rate': 0.07440848867423715, 'depth': 10, 'colsample_bylevel': 0.896804967318993, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1509307740678014, 'grow_policy': 'Depthwise'}, Value: 0.5939318154701694
Trial 94, Params: {'learning_rate': 0.08550605448969269, 'depth': 10, 'colsample_bylevel': 0.9659041515516193, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.1910901311316768, 'grow_policy': 'Depthwise'}, Value: 0.6186620941142866
Trial 95, Params: {'learning_rate': 0.06860990339261404, 'depth': 10, 'colsample_bylevel': 0.8383067354920495, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.5002201935330188, 'grow_policy': 'Depthwise'}, Value: 0.5837278093894533
Trial 96, Params: {'learning_rate': 0.04618266262659941, 'depth': 3, 'colsample_bylevel': 0.9298136261234792, 'min_data_in_leaf': 52, 'l2_leaf_reg': 1.070688689399101, 'grow_policy': 'Depthwise'}, Value: 0.32632952302845775
Trial 97, Params: {'learning_rate': 0.05857633289181783, 'depth': 9, 'colsample_bylevel': 0.999755909431168, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.1264134162348933, 'grow_policy': 'Depthwise'}, Value: 0.556385116223864
Trial 98, Params: {'learning_rate': 0.08045744100344426, 'depth': 10, 'colsample_bylevel': 0.874967260831352, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.2333962312629607, 'grow_policy': 'Depthwise'}, Value: 0.6067346466247618
Trial 99, Params: {'learning_rate': 0.09907620963321939, 'depth': 10, 'colsample_bylevel': 0.5829978910702343, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.4116712393811255, 'grow_policy': 'Depthwise'}, Value: 0.6172042513954701
Trial 100, Params: {'learning_rate': 0.08869232985836935, 'depth': 9, 'colsample_bylevel': 0.9466937567526571, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.0468899055876615, 'grow_policy': 'Depthwise'}, Value: 0.6168374297198828
Trial 101, Params: {'learning_rate': 0.0902388824193747, 'depth': 10, 'colsample_bylevel': 0.9756280339697913, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.319334442340119, 'grow_policy': 'Depthwise'}, Value: 0.6238640897351099
Trial 102, Params: {'learning_rate': 0.09815865785266915, 'depth': 10, 'colsample_bylevel': 0.7741387761311431, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.259847623286908, 'grow_policy': 'Depthwise'}, Value: 0.6303976361317418
Trial 103, Params: {'learning_rate': 0.07763800554365058, 'depth': 10, 'colsample_bylevel': 0.9010619959561497, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.1129683880522383, 'grow_policy': 'Depthwise'}, Value: 0.6000221710892909
Trial 104, Params: {'learning_rate': 0.09943929135510911, 'depth': 10, 'colsample_bylevel': 0.3453481858190652, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.1697673318270199, 'grow_policy': 'Depthwise'}, Value: 0.6089973142322254
Trial 105, Params: {'learning_rate': 0.0693715941340667, 'depth': 10, 'colsample_bylevel': 0.9691310247428524, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.0031998397582473, 'grow_policy': 'Depthwise'}, Value: 0.5843840793527857
Trial 106, Params: {'learning_rate': 0.08296627696341331, 'depth': 10, 'colsample_bylevel': 0.8218514055634288, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.0959744583465552, 'grow_policy': 'Depthwise'}, Value: 0.6085468765689871
Trial 107, Params: {'learning_rate': 0.06405414218291586, 'depth': 10, 'colsample_bylevel': 0.8610501007174481, 'min_data_in_leaf': 66, 'l2_leaf_reg': 1.440143913708766, 'grow_policy': 'Lossguide'}, Value: 0.4958394817841249
Trial 108, Params: {'learning_rate': 0.08950500516927049, 'depth': 9, 'colsample_bylevel': 0.642828557742287, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.3336791848602467, 'grow_policy': 'Depthwise'}, Value: 0.6075268052679295
Trial 109, Params: {'learning_rate': 0.05377547751616642, 'depth': 10, 'colsample_bylevel': 0.949737516633291, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.216049803356148, 'grow_policy': 'SymmetricTree'}, Value: 0.5216431709315544
Trial 110, Params: {'learning_rate': 0.07732243338978965, 'depth': 10, 'colsample_bylevel': 0.4171327699080585, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.0415420706872651, 'grow_policy': 'Depthwise'}, Value: 0.5810563278237785
Trial 111, Params: {'learning_rate': 0.09127176417148242, 'depth': 10, 'colsample_bylevel': 0.9826892212981211, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.1383894685314728, 'grow_policy': 'Depthwise'}, Value: 0.6256841288757717
Trial 112, Params: {'learning_rate': 0.08334258458541598, 'depth': 10, 'colsample_bylevel': 0.9259621167487656, 'min_data_in_leaf': 45, 'l2_leaf_reg': 1.0988411096775037, 'grow_policy': 'Depthwise'}, Value: 0.613654760579211
Trial 113, Params: {'learning_rate': 0.09819886330975389, 'depth': 10, 'colsample_bylevel': 0.968606819452516, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.1600948511105742, 'grow_policy': 'Depthwise'}, Value: 0.6338497043481771
Trial 114, Params: {'learning_rate': 0.09942553191363797, 'depth': 10, 'colsample_bylevel': 0.8907959519142483, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.2229722266272471, 'grow_policy': 'Depthwise'}, Value: 0.6317472279469083
Trial 115, Params: {'learning_rate': 0.07214601924757773, 'depth': 10, 'colsample_bylevel': 0.8896942814399663, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.0000788643670686, 'grow_policy': 'Depthwise'}, Value: 0.5920228585714045
Trial 116, Params: {'learning_rate': 0.09101099583091746, 'depth': 10, 'colsample_bylevel': 0.9195094482608205, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1820026098961303, 'grow_policy': 'Depthwise'}, Value: 0.6237736597180975
Trial 117, Params: {'learning_rate': 0.08031396500192398, 'depth': 10, 'colsample_bylevel': 0.9761837952664502, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.2545691308119877, 'grow_policy': 'Depthwise'}, Value: 0.6087174087573188
Trial 118, Params: {'learning_rate': 0.07118120720066703, 'depth': 10, 'colsample_bylevel': 0.49906918253021193, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.063981053581237, 'grow_policy': 'Depthwise'}, Value: 0.5781337324914009
Trial 119, Params: {'learning_rate': 0.06247175831586353, 'depth': 9, 'colsample_bylevel': 0.9506303499912809, 'min_data_in_leaf': 44, 'l2_leaf_reg': 2.2093149794485143, 'grow_policy': 'Depthwise'}, Value: 0.557487631621236
Trial 120, Params: {'learning_rate': 0.009297289868290048, 'depth': 10, 'colsample_bylevel': 0.9974705345152937, 'min_data_in_leaf': 34, 'l2_leaf_reg': 1.138275653410216, 'grow_policy': 'Depthwise'}, Value: 0.2797737555000805
Trial 121, Params: {'learning_rate': 0.09703891602768813, 'depth': 10, 'colsample_bylevel': 0.748996107125897, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.3402666890852784, 'grow_policy': 'Depthwise'}, Value: 0.6311020079531031
Trial 122, Params: {'learning_rate': 0.09884390207862603, 'depth': 10, 'colsample_bylevel': 0.8014447940707924, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.2263795217428803, 'grow_policy': 'Depthwise'}, Value: 0.6377838649678159
Trial 123, Params: {'learning_rate': 0.0868421437059662, 'depth': 10, 'colsample_bylevel': 0.8681392443018735, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.2167503334000411, 'grow_policy': 'Depthwise'}, Value: 0.613470978600942
Trial 124, Params: {'learning_rate': 0.08059394811873574, 'depth': 10, 'colsample_bylevel': 0.9351671177703489, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.0373817818769386, 'grow_policy': 'Depthwise'}, Value: 0.6096701032494396
Trial 125, Params: {'learning_rate': 0.09029412078534745, 'depth': 10, 'colsample_bylevel': 0.9036879878512064, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.1690168657273305, 'grow_policy': 'Depthwise'}, Value: 0.6214296497248625
Trial 126, Params: {'learning_rate': 0.027562928970923495, 'depth': 7, 'colsample_bylevel': 0.9602383001772284, 'min_data_in_leaf': 45, 'l2_leaf_reg': 1.0761119542500468, 'grow_policy': 'Depthwise'}, Value: 0.42500078620810566
Trial 127, Params: {'learning_rate': 0.09992843750345778, 'depth': 4, 'colsample_bylevel': 0.978216780567439, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.107894938794576, 'grow_policy': 'Depthwise'}, Value: 0.518939907651946
Trial 128, Params: {'learning_rate': 0.0746391534177792, 'depth': 10, 'colsample_bylevel': 0.8341749351652075, 'min_data_in_leaf': 58, 'l2_leaf_reg': 1.4646913325455981, 'grow_policy': 'Lossguide'}, Value: 0.5118810076291129
Trial 129, Params: {'learning_rate': 0.08564169202719425, 'depth': 10, 'colsample_bylevel': 0.9378105290917487, 'min_data_in_leaf': 32, 'l2_leaf_reg': 1.2342710065475644, 'grow_policy': 'Depthwise'}, Value: 0.6085938816097093
Trial 130, Params: {'learning_rate': 0.09929015665117115, 'depth': 9, 'colsample_bylevel': 0.8878881163060439, 'min_data_in_leaf': 69, 'l2_leaf_reg': 1.3733207413226498, 'grow_policy': 'SymmetricTree'}, Value: 0.6020381626573978
Trial 131, Params: {'learning_rate': 0.09069893542886413, 'depth': 10, 'colsample_bylevel': 0.9179297996387203, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.3110985306813494, 'grow_policy': 'Depthwise'}, Value: 0.6193726439389883
Trial 132, Params: {'learning_rate': 0.09983852593862726, 'depth': 10, 'colsample_bylevel': 0.7993670719830556, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.2658839604796108, 'grow_policy': 'Depthwise'}, Value: 0.6352747856960568
Trial 133, Params: {'learning_rate': 0.08061636483648128, 'depth': 10, 'colsample_bylevel': 0.7119932504611195, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.155414297124016, 'grow_policy': 'Depthwise'}, Value: 0.6015546322524589
Trial 134, Params: {'learning_rate': 0.07442916310760174, 'depth': 10, 'colsample_bylevel': 0.778809730599464, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.0385462463704618, 'grow_policy': 'Depthwise'}, Value: 0.5972090627051053
Trial 135, Params: {'learning_rate': 0.09991736293939882, 'depth': 10, 'colsample_bylevel': 0.14633129003048212, 'min_data_in_leaf': 62, 'l2_leaf_reg': 1.0939008689604794, 'grow_policy': 'Depthwise'}, Value: 0.5701640868199084
Trial 136, Params: {'learning_rate': 0.06659326808940946, 'depth': 10, 'colsample_bylevel': 0.8056313845672916, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.5989941137336836, 'grow_policy': 'Depthwise'}, Value: 0.577232063232606
Trial 137, Params: {'learning_rate': 0.08981044250387432, 'depth': 10, 'colsample_bylevel': 0.99906119698762, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.198574947241245, 'grow_policy': 'Depthwise'}, Value: 0.6235389994049891
Trial 138, Params: {'learning_rate': 0.08444511554998989, 'depth': 10, 'colsample_bylevel': 0.8533083268490822, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.2766053383028995, 'grow_policy': 'Depthwise'}, Value: 0.6071986339578721
Trial 139, Params: {'learning_rate': 0.07877130678142172, 'depth': 10, 'colsample_bylevel': 0.9588010045549493, 'min_data_in_leaf': 96, 'l2_leaf_reg': 1.0017705179578529, 'grow_policy': 'Depthwise'}, Value: 0.591972523590538
Trial 140, Params: {'learning_rate': 0.09989882822192805, 'depth': 9, 'colsample_bylevel': 0.6954684223223984, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.1322964550745207, 'grow_policy': 'Depthwise'}, Value: 0.622160614464841
Trial 141, Params: {'learning_rate': 0.09094089353573491, 'depth': 10, 'colsample_bylevel': 0.7425729897381531, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.2434823693218766, 'grow_policy': 'Depthwise'}, Value: 0.6247856960838731
Trial 142, Params: {'learning_rate': 0.09146043576393915, 'depth': 10, 'colsample_bylevel': 0.8008200467155909, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1611665728617797, 'grow_policy': 'Depthwise'}, Value: 0.6263554717056018
Trial 143, Params: {'learning_rate': 0.084959603766915, 'depth': 5, 'colsample_bylevel': 0.8235359995094695, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.2833610584126156, 'grow_policy': 'Depthwise'}, Value: 0.5350909992020916
Trial 144, Params: {'learning_rate': 0.07327883412672623, 'depth': 10, 'colsample_bylevel': 0.9712503316349553, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.0849173181291882, 'grow_policy': 'Depthwise'}, Value: 0.5963182580847824
Trial 145, Params: {'learning_rate': 0.09941898169944133, 'depth': 10, 'colsample_bylevel': 0.7630255845522136, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.2093177396069408, 'grow_policy': 'Depthwise'}, Value: 0.6258243883195054
Trial 146, Params: {'learning_rate': 0.01908859869952934, 'depth': 10, 'colsample_bylevel': 0.8697583907061247, 'min_data_in_leaf': 45, 'l2_leaf_reg': 3.993943517304524, 'grow_policy': 'Depthwise'}, Value: 0.3857470839639972
Trial 147, Params: {'learning_rate': 0.08035064395283907, 'depth': 10, 'colsample_bylevel': 0.78357106185145, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.3867228462131564, 'grow_policy': 'Depthwise'}, Value: 0.6067846467288094
Trial 148, Params: {'learning_rate': 0.07017725779981036, 'depth': 10, 'colsample_bylevel': 0.944247783616937, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.0383100064447972, 'grow_policy': 'Depthwise'}, Value: 0.587781791886632
Trial 149, Params: {'learning_rate': 0.09015646306760665, 'depth': 10, 'colsample_bylevel': 0.9013095981330818, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.1245742275776092, 'grow_policy': 'Depthwise'}, Value: 0.6254393487480177
Trial 150, Params: {'learning_rate': 0.09171756463355024, 'depth': 10, 'colsample_bylevel': 0.9224095247691414, 'min_data_in_leaf': 53, 'l2_leaf_reg': 1.065552654860025, 'grow_policy': 'Depthwise'}, Value: 0.6211658735144774
Trial 151, Params: {'learning_rate': 0.09313509335605077, 'depth': 10, 'colsample_bylevel': 0.9813296979434326, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.1559051718511086, 'grow_policy': 'Depthwise'}, Value: 0.627429875057589
Trial 152, Params: {'learning_rate': 0.011435472598231326, 'depth': 10, 'colsample_bylevel': 0.9611065796866357, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.1098519304466914, 'grow_policy': 'Depthwise'}, Value: 0.31495584842287194
Trial 153, Params: {'learning_rate': 0.09993343231861836, 'depth': 10, 'colsample_bylevel': 0.9842323176619805, 'min_data_in_leaf': 43, 'l2_leaf_reg': 3.0387003374236365, 'grow_policy': 'Depthwise'}, Value: 0.6313695032609606
Trial 154, Params: {'learning_rate': 0.08335210356016003, 'depth': 10, 'colsample_bylevel': 0.9789750325236716, 'min_data_in_leaf': 43, 'l2_leaf_reg': 2.6522332535798867, 'grow_policy': 'Depthwise'}, Value: 0.6067128493566777
Trial 155, Params: {'learning_rate': 0.09940079775950801, 'depth': 10, 'colsample_bylevel': 0.942275715804975, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.312503773676778, 'grow_policy': 'Depthwise'}, Value: 0.6317772140235703
Trial 156, Params: {'learning_rate': 0.09893392458965208, 'depth': 10, 'colsample_bylevel': 0.9996006631409562, 'min_data_in_leaf': 40, 'l2_leaf_reg': 3.0177845824648846, 'grow_policy': 'Depthwise'}, Value: 0.6263576148175064
Trial 157, Params: {'learning_rate': 0.07704787630966467, 'depth': 10, 'colsample_bylevel': 0.9390665995594711, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.7197043824472356, 'grow_policy': 'Lossguide'}, Value: 0.5162728688716711
Trial 158, Params: {'learning_rate': 0.0847751343566244, 'depth': 10, 'colsample_bylevel': 0.9536091364797172, 'min_data_in_leaf': 42, 'l2_leaf_reg': 4.937653856537585, 'grow_policy': 'Depthwise'}, Value: 0.6042784582526697
Trial 159, Params: {'learning_rate': 0.09916811567932712, 'depth': 10, 'colsample_bylevel': 0.9253144994690917, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.1831130666555265, 'grow_policy': 'SymmetricTree'}, Value: 0.5915840312454417
Trial 160, Params: {'learning_rate': 0.08455053283959399, 'depth': 10, 'colsample_bylevel': 0.8907271695396052, 'min_data_in_leaf': 56, 'l2_leaf_reg': 1.3301677874827535, 'grow_policy': 'Depthwise'}, Value: 0.6114304784630284
Trial 161, Params: {'learning_rate': 0.09996926846542943, 'depth': 10, 'colsample_bylevel': 0.9824872429992114, 'min_data_in_leaf': 40, 'l2_leaf_reg': 5.560785037666531, 'grow_policy': 'Depthwise'}, Value: 0.620359573740473
Trial 162, Params: {'learning_rate': 0.09050496691640518, 'depth': 10, 'colsample_bylevel': 0.811551808083117, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.2819841734429207, 'grow_policy': 'Depthwise'}, Value: 0.6213710531032942
Trial 163, Params: {'learning_rate': 0.0767858446084691, 'depth': 10, 'colsample_bylevel': 0.8404315785529789, 'min_data_in_leaf': 45, 'l2_leaf_reg': 4.504126276511808, 'grow_policy': 'Depthwise'}, Value: 0.5877023222156241
Trial 164, Params: {'learning_rate': 0.09174740330667716, 'depth': 10, 'colsample_bylevel': 0.9632870830603186, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.5251747379318519, 'grow_policy': 'Depthwise'}, Value: 0.627408772496176
Trial 165, Params: {'learning_rate': 0.08460467237117152, 'depth': 10, 'colsample_bylevel': 0.9176273336380416, 'min_data_in_leaf': 41, 'l2_leaf_reg': 6.728321716032444, 'grow_policy': 'Depthwise'}, Value: 0.5963990335609874
Trial 166, Params: {'learning_rate': 0.06727576505731821, 'depth': 10, 'colsample_bylevel': 0.9398197660006047, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.2295771190069325, 'grow_policy': 'Depthwise'}, Value: 0.5794450110741162
Trial 167, Params: {'learning_rate': 0.09124756988369002, 'depth': 10, 'colsample_bylevel': 0.9845930838511565, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.0023035076198736, 'grow_policy': 'Depthwise'}, Value: 0.6270736431001209
Trial 168, Params: {'learning_rate': 0.07938609769789931, 'depth': 10, 'colsample_bylevel': 0.9995466076712097, 'min_data_in_leaf': 51, 'l2_leaf_reg': 1.0712039085559837, 'grow_policy': 'Depthwise'}, Value: 0.6099889681944758
Trial 169, Params: {'learning_rate': 0.09964102715752039, 'depth': 9, 'colsample_bylevel': 0.9663729276348905, 'min_data_in_leaf': 37, 'l2_leaf_reg': 3.519388826171293, 'grow_policy': 'Depthwise'}, Value: 0.6221988811532606
Trial 170, Params: {'learning_rate': 0.07328683951213535, 'depth': 10, 'colsample_bylevel': 0.8993700481905882, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.4081409795355424, 'grow_policy': 'Depthwise'}, Value: 0.5940370658647238
Trial 171, Params: {'learning_rate': 0.09060376265275037, 'depth': 10, 'colsample_bylevel': 0.9547267692181198, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.1217362439491168, 'grow_policy': 'Depthwise'}, Value: 0.62035532570164
Trial 172, Params: {'learning_rate': 0.09263220261133637, 'depth': 10, 'colsample_bylevel': 0.9500600557037654, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.1889823562193904, 'grow_policy': 'Depthwise'}, Value: 0.6256032214532932
Trial 173, Params: {'learning_rate': 0.08345125345064089, 'depth': 10, 'colsample_bylevel': 0.9741882451710568, 'min_data_in_leaf': 43, 'l2_leaf_reg': 9.216005151078866, 'grow_policy': 'Depthwise'}, Value: 0.5861059566750455
Trial 174, Params: {'learning_rate': 0.0931174106463866, 'depth': 6, 'colsample_bylevel': 0.9322160762680665, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.2691683761550487, 'grow_policy': 'Depthwise'}, Value: 0.5769237418138161
Trial 175, Params: {'learning_rate': 0.09923347626642078, 'depth': 10, 'colsample_bylevel': 0.9130972581211427, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.0469241254247434, 'grow_policy': 'Depthwise'}, Value: 0.6360213899748091
Trial 176, Params: {'learning_rate': 0.08413879326108774, 'depth': 10, 'colsample_bylevel': 0.8679208640680355, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.0338223949688639, 'grow_policy': 'Depthwise'}, Value: 0.6151884341474293
Trial 177, Params: {'learning_rate': 0.09896414793877287, 'depth': 10, 'colsample_bylevel': 0.906816315576337, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.0773045556067822, 'grow_policy': 'Depthwise'}, Value: 0.6332179448708783
Trial 178, Params: {'learning_rate': 0.007284327035694589, 'depth': 10, 'colsample_bylevel': 0.9029250752167662, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.082546162548455, 'grow_policy': 'Depthwise'}, Value: 0.23583964648425546
Trial 179, Params: {'learning_rate': 0.09972112887789136, 'depth': 10, 'colsample_bylevel': 0.8879410558578056, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.04787106216799, 'grow_policy': 'Depthwise'}, Value: 0.6360508989128251
Trial 180, Params: {'learning_rate': 0.07719945762144455, 'depth': 10, 'colsample_bylevel': 0.858280397469232, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.0383405999818491, 'grow_policy': 'Depthwise'}, Value: 0.6032082722605672
Trial 181, Params: {'learning_rate': 0.09783968273230102, 'depth': 10, 'colsample_bylevel': 0.9121120551629308, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.13315355402619, 'grow_policy': 'Depthwise'}, Value: 0.6331264285392921
Trial 182, Params: {'learning_rate': 0.08750511237084649, 'depth': 10, 'colsample_bylevel': 0.8869622724336933, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.1399358643363542, 'grow_policy': 'Depthwise'}, Value: 0.6160562229947374
Trial 183, Params: {'learning_rate': 0.09923847971253728, 'depth': 10, 'colsample_bylevel': 0.9172250815718793, 'min_data_in_leaf': 34, 'l2_leaf_reg': 1.0846558210267674, 'grow_policy': 'Depthwise'}, Value: 0.6302562231445025
Trial 184, Params: {'learning_rate': 0.005227409704225188, 'depth': 10, 'colsample_bylevel': 0.8849956105459809, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.051474222854719, 'grow_policy': 'Depthwise'}, Value: 0.18345037638140493
Trial 185, Params: {'learning_rate': 0.08936201965099903, 'depth': 10, 'colsample_bylevel': 0.9026257597751999, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.0013137537412513, 'grow_policy': 'Depthwise'}, Value: 0.6271028129200792
Trial 186, Params: {'learning_rate': 0.09987740250331514, 'depth': 10, 'colsample_bylevel': 0.9121204967090881, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.157063684084096, 'grow_policy': 'Depthwise'}, Value: 0.6354352114728572
Trial 187, Params: {'learning_rate': 0.0028574683034042177, 'depth': 10, 'colsample_bylevel': 0.87485340269532, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.1668126708744233, 'grow_policy': 'Depthwise'}, Value: 0.10939050082889128
Trial 188, Params: {'learning_rate': 0.08188139116623294, 'depth': 10, 'colsample_bylevel': 0.9152099579479683, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.2152414921540289, 'grow_policy': 'Lossguide'}, Value: 0.5272500028357173
Trial 189, Params: {'learning_rate': 0.09899002211520155, 'depth': 10, 'colsample_bylevel': 0.929547791465171, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.1204927900540582, 'grow_policy': 'Depthwise'}, Value: 0.6282194037201039
